criticalRate,death,deathRate,confCaseRate,createDt,confCase,gubun
0.79,1228,50.31,52.24,2021-09-25,155897,Male
1.89,20685,59.61,3.47,2023-05-23,1094552,80 over
0.04,8,0.39,14.11,2021-07-04,22588,30-39
0.11,17316,50.75,53.69,2023-03-14,16454863,Female
0.12,13912,49,47,2022-10-01,11597534,Male
0.04,10,0.48,14.61,2021-07-29,28503,30-39
0.5,6616,22.97,5.22,2022-10-15,1311054,70-79
0.52,25,41.67,62.01,2020-03-11,4809,Female
0.12,3818,11.4,10.9,2023-02-08,3304976,60-69
0,23,0.07,12.4,2023-07-04,4003450,10-19
1.8,141,46.84,54.75,2020-08-01,7849,Female
0.03,1432,4.08,13.06,2023-07-04,4216777,50-59
0,0,0,14.69,2023-08-26,5052669,30-39
0,162,0.47,14.67,2023-05-26,4639833,30-39
1.75,21209,59.74,3.58,2023-08-11,1208575,80 over
0.01,392,1.37,15.26,2022-10-09,3810557,40-49
0,136,0.47,14.59,2022-10-11,3647576,30-39
0,0,0,26.39,2020-06-24,3308,20-29
2.67,14556,58.78,2.89,2022-07-19,544270,80 over
1.62,881,49.83,49.67,2021-04-11,54414,Male
1.26,55,11.34,15.81,2020-11-10,4371,60-69
0.01,472,0,15.22,2023-05-08,4761750,40-49
0.68,1,12.5,16.35,2020-02-25,146,40-49
0.12,3607,11.41,10.77,2022-12-22,3066243,60-69
0,3,0.04,9.14,2022-02-05,88782,0-9
0.14,11827,48.67,47,2022-06-07,8542847,Male
17.28,1190,51.27,2.64,2021-09-05,6887,80 over
20.33,959,55.69,4.64,2021-03-28,4717,80 over
0,0,0,8.28,2021-08-16,18677,10-19
0.12,3690,11.36,10.83,2023-01-06,3187102,60-69
0.11,14207,51.05,53.21,2022-09-18,12981157,Female
0,0,0,5.55,2020-07-16,755,10-19
0,0,0,5.83,2020-08-23,1015,10-19
1.68,572,49.1,48.99,2021-01-12,34115,Male
0,126,0.47,14.68,2022-09-01,3424586,30-39
0,109,0.45,14.7,2022-06-15,2683271,30-39
0.82,1537,49.34,46.95,2021-11-15,186604,Female
0,0,0,16.76,2020-02-22,58,20-29
1.97,19636,59.66,3.35,2023-01-14,996944,80 over
1.85,20932,59.64,3.5,2023-07-06,1130885,80 over
0,4,0.02,13.4,2022-04-12,2094465,10-19
0.03,10,0.47,14.65,2021-08-05,30137,30-39
0,0,0,9.46,2023-08-31,3269423,0-9
0.49,6807,22.88,5.33,2022-11-15,1402178,70-79
0.13,3181,11.65,10.4,2022-09-08,2482677,60-69
0.01,478,1.36,15.19,2023-07-06,4911427,40-49
0,0,0,6.77,2021-03-05,6201,10-19
0.99,912,15.62,14.16,2022-01-05,92004,60-69
0,0,0,19.86,2020-10-07,4836,20-29
0,0,0,2.6,2020-10-30,685,0-9
0,9,0,13,2022-06-11,2386429,10-19
0.4,17,38.64,62.72,2020-03-07,4244,Female
0.17,3,1.03,13.16,2020-07-16,1791,40-49
2.21,16600,58.99,3.05,2022-09-24,751242,80 over
2.12,163,52.75,45.15,2020-08-22,7677,Male
0.01,458,1.36,15.24,2023-02-15,4631703,40-49
0,0,0,9.6,2021-11-11,37282,10-19
0.13,3206,11.64,10.43,2022-09-13,2513520,60-69
0,42,0,15,2022-04-03,2022651,20-29
1.23,63,12.07,15.41,2020-11-28,5134,60-69
0,0,0,10.93,2023-04-09,3378859,60-69
0.88,1189,49.77,47.98,2021-09-17,135281,Female
0.9,3333,51.44,51.96,2022-01-20,370194,Male
0.75,1403,51.11,53.08,2021-10-23,186023,Male
1.71,41,13.27,14.1,2020-08-22,2398,60-69
0,17,0.06,12.75,2022-11-11,3326603,10-19
0.13,3227,11.62,10.45,2022-09-17,2544638,60-69
0,22,0.24,16.54,2022-03-07,771973,20-29
0.96,1112,50.05,48.64,2021-08-23,115641,Female
0.13,3296,11.55,10.49,2022-10-04,2606567,60-69
0,0,0,0,2020-01-23,0,10-19
0,37,0.11,10.15,2023-03-02,3098028,0-9
0.08,2,0.63,12.59,2020-08-28,2401,30-39
0.1,17794,50.67,53.87,2023-07-11,17463215,Female
0.31,55,3.26,18.54,2021-03-17,17956,50-59
0,0,0,14.52,2023-07-22,4765124,20-29
0.63,16,5.32,17.62,2020-08-03,2536,50-59
0.29,139,5.84,17.01,2021-09-15,47278,50-59
0.11,16304,51.03,53.57,2022-12-28,15459709,Female
0.04,2,0.37,12.89,2020-12-06,4839,30-39
0,0,0,5.71,2021-10-27,20361,0-9
0.07,58,1.32,14.71,2021-12-14,77775,40-49
0,0,0,5.5,2020-08-09,803,10-19
0.74,1510,50.67,53.12,2021-11-08,202762,Male
1.06,1056,50.14,49,2021-08-04,99918,Female
0.04,43,0.65,14.74,2022-01-26,112437,30-39
0.03,11,0.5,14.9,2021-08-21,34979,30-39
0,138,0.46,14.56,2022-11-14,3818589,30-39
0.85,2345,48.57,47.8,2021-12-21,275140,Female
0,27,0,12,2022-07-24,2272334,0-9
0.12,17127,49.28,46.2,2023-05-27,14620584,Male
1.99,216,53.2,45.9,2020-09-28,10860,Male
0.05,7,0.4,13.43,2021-04-06,14261,30-39
0,0,0,14.51,2023-07-29,4807862,20-29
16.44,294,51.4,4.38,2020-12-11,1788,80 over
0.11,2,0.67,12.49,2020-07-27,1771,30-39
0.9,3232,51.46,51.99,2022-01-15,357706,Male
0.18,3,1.07,13.07,2020-06-21,1623,40-49
1.79,751,50.2,50.78,2021-02-11,41855,Female
1.96,19776,59.68,3.36,2023-01-20,1007066,80 over
0.01,330,1.34,15.43,2022-06-29,2831549,40-49
0,72,0,15,2022-09-28,3654523,20-29
0,14735,51,53,2022-10-18,13402367,Female
0.12,3864,11.36,10.93,2023-03-03,3338458,60-69
0,0,0,27.56,2020-06-02,3181,20-29
0.12,3643,11.4,10.79,2022-12-28,3115047,60-69
0.04,25,0.89,15.99,2021-10-29,57639,30-39
0.65,4942,23.28,4.67,2022-04-18,763872,70-79
0,0,0,42.86,2020-02-05,9,Female
0,6669,23,5,2022-10-27,1336741,70-79
0,0,0,6.23,2020-12-26,3482,10-19
25.51,125,48.26,4.47,2020-05-13,490,80 over
0,0,0,5.62,2020-06-17,685,10-19
0,151,0.46,14.61,2023-01-12,4340129,30-39
0.21,3,1.25,13.25,2020-04-23,1418,40-49
4.37,1844,27.61,5.32,2022-01-28,42223,70-79
0,17,0.21,16.97,2022-02-28,531935,20-29
0.27,32,3.33,18.79,2021-01-03,11882,50-59
0.04,1025,4.13,12.34,2022-07-21,2346220,50-59
0,61,0,15,2022-07-24,2840933,20-29
0.04,31,0.65,14.61,2021-12-20,83313,30-39
0.08,71,1.37,14.6,2021-12-25,87902,40-49
0,0,0,9.38,2020-02-18,3,60-69
0,0,0,8.91,2021-10-12,29760,10-19
0.45,7715,22.69,5.59,2023-03-02,1706207,70-79
22.22,154,49.68,3.86,2020-08-25,693,80 over
0.44,20,4.62,18.46,2020-10-12,4561,50-59
26.65,133,48.9,4.32,2020-06-02,499,80 over
1.6,146,47.25,54.82,2020-08-21,9138,Female
1.33,170,11.53,15.72,2021-02-08,12764,60-69
1.9,127,47.04,58.19,2020-05-31,6673,Female
9.77,81,28.93,6.67,2020-06-21,829,70-79
0,80,0,14.56,2023-06-15,4653439,20-29
0,6,0.06,12.19,2022-03-11,710044,0-9
0,0,0,14.64,2023-03-20,4494062,30-39
0.04,3,0.38,12.69,2020-12-26,7091,30-39
3.9,968,26.71,5.55,2021-11-30,24835,70-79
17.28,1192,51.22,2.63,2021-09-06,6897,80 over
0.1,12,0.77,14.36,2021-02-19,12364,40-49
1.81,268,52.55,47.34,2020-11-24,14814,Male
0.29,61,3.39,18.53,2021-04-20,21342,50-59
0,0,0,5.48,2020-09-27,1295,10-19
0.03,1372,4.08,13.06,2023-02-07,3954689,50-59
0,11,0.04,13.1,2022-07-09,2422021,10-19
2,15031,59,3,2022-08-13,614242,80 over
20.92,865,56.83,4.95,2021-02-14,4135,80 over
0,0,0,19.09,2020-11-18,5591,20-29
0,0,0,6.92,2021-04-11,7582,10-19
0.08,1,0.62,13.44,2020-03-31,1315,40-49
0.88,658,14.77,13.87,2021-12-15,74388,60-69
0.06,7,0.42,13.24,2021-03-13,12602,30-39
0.12,16994,49.28,46.26,2023-05-01,14422467,Male
0.13,12519,51.29,52.99,2022-06-16,9673448,Female
0.01,250,1.29,15.51,2022-04-10,2377587,40-49
0,0,0,0,2020-01-22,0,Male
0.3,291,4.82,14.43,2022-01-09,95860,50-59
0.12,3569,11.47,10.74,2022-12-13,2989149,60-69
0,14236,49,47,2022-10-27,11879237,Male
1.01,388,14.43,11.14,2021-10-19,38396,60-69
10.93,80,29.41,6.34,2020-06-02,732,70-79
0.04,1267,4.11,12.88,2022-12-06,3529941,50-59
15.4,1348,49.47,2.51,2021-10-22,8756,80 over
0,0,0,0,2020-01-24,0,60-69
0.08,72,1.37,14.6,2021-12-26,88674,40-49
0.01,338,1.35,15.41,2022-07-29,3023850,40-49
0,17,0.06,12.77,2022-10-25,3238565,10-19
0,149,0.46,14.61,2023-01-06,4297922,30-39
0,45,0.24,14.5,2022-04-07,2142849,20-29
0,39,0.11,9.49,2023-08-24,3256988,0-9
0,79,0.23,14.56,2023-03-14,4464150,20-29
24.96,144,49.83,4.27,2020-07-14,577,80 over
0.86,2,66.67,41.73,2020-02-23,232,Male
0.04,8,0.41,13.75,2021-06-02,19458,30-39
0,0,0,9.77,2021-12-03,45192,10-19
0,16,0,13,2022-09-04,3017723,10-19
1.81,775,49.78,49.28,2021-02-21,42864,Male
10.04,71,29.83,6.61,2020-04-22,707,70-79
0,0,0,53.82,2023-06-06,17119118,Female
0,0,0,23.52,2020-08-21,3921,20-29
0,8,0.06,12.42,2022-03-21,1190324,0-9
1.29,53,11.6,15.96,2020-10-25,4124,60-69
0,1172,4,13,2022-09-27,3138601,50-59
0,0,0,1.34,2020-05-22,149,0-9
0.08,75,1.37,14.6,2021-12-30,91421,40-49
0,0,0,7.17,2021-06-19,10800,10-19
0.31,61,3.47,18.44,2021-04-08,19836,50-59
0,0,0,11.84,2022-02-01,102319,10-19
0,37,0.12,10.43,2022-12-27,3001655,0-9
0.11,16910,50.92,53.65,2023-01-22,16094557,Female
0,38,0.11,9.77,2023-07-19,3195532,0-9
0.14,11929,48.71,47.02,2022-06-23,8606916,Male
0,0,0,5.08,2021-07-28,9311,0-9
0.81,2206,51.39,52.38,2021-12-13,273985,Male
0,37,0.11,10.22,2023-01-20,3062625,0-9
0.42,1,8.33,14.86,2020-02-27,237,40-49
0,0,0,14.5,2023-08-12,4906358,20-29
0.13,2,0.71,11.68,2020-06-29,1490,30-39
1.5,429,49.94,48.67,2020-12-29,28573,Male
3.74,1386,26.78,6.16,2021-12-25,37086,70-79
0.75,1461,50.84,53.14,2021-11-02,195535,Male
0.01,255,1.27,15.51,2022-04-13,2454789,40-49
0.49,6764,22.87,5.32,2022-11-11,1386893,70-79
0,0,0,6.12,2021-11-20,25253,0-9
1.96,19916,59.7,3.38,2023-01-28,1017040,80 over
0.12,3900,11.36,10.93,2023-04-07,3376196,60-69
2.21,16899,59.06,3.07,2022-10-07,766310,80 over
0.28,120,5.3,17.5,2021-08-27,42900,50-59
2.98,130,52,40.45,2020-05-02,4361,Male
20.61,938,56.27,4.78,2021-03-13,4551,80 over
2.49,40,14.29,12.95,2020-06-21,1608,60-69
0.09,1,1.67,13.97,2020-03-11,1083,40-49
0,0,0,5.13,2021-08-24,12285,0-9
0,0,0,46.18,2023-06-07,14696607,Male
2,16688,59,3,2022-09-27,754507,80 over
20.55,230,50.33,4.33,2020-10-25,1119,80 over
0,20,0.06,12.53,2023-01-16,3736420,10-19
0,9,0.04,13.1,2022-06-05,2379438,10-19
5.85,524,28.48,7.2,2021-05-04,8951,70-79
0.13,2,0.7,11.87,2020-07-07,1565,30-39
0.11,15081,51.07,53.35,2022-11-10,13891487,Female
18.83,1026,55.16,4.32,2021-05-07,5448,80 over
0.84,1741,49.07,47.18,2021-11-28,208031,Female
0,0,0,14.69,2023-07-08,4755829,30-39
0.11,4037,11.35,11.22,2023-08-14,3804176,60-69
0,0,0,5.56,2020-07-22,772,10-19
0,160,0.47,14.64,2023-04-12,4531730,30-39
0.01,478,1.36,15.19,2023-07-06,4911427,40-49
0,0,0,2.09,2020-08-26,381,0-9
0.07,15,0.78,14.99,2021-05-23,20382,40-49
4.41,4940,53.22,2.3,2022-03-08,112020,80 over
0,0,0,5.5,2020-07-26,778,10-19
3.84,1468,26.91,6.1,2021-12-30,38213,70-79
0,0,0,1.72,2020-07-25,242,0-9
0.03,1359,4.1,13,2023-01-23,3916318,50-59
0,126,0,15,2022-09-03,3445943,30-39
0,0,0,25.92,2020-07-09,3445,20-29
0.77,15,6.3,18.24,2020-04-22,1951,50-59
26.65,133,48.72,4.31,2020-06-03,499,80 over
0.24,1418,13.64,9.18,2022-03-13,602057,60-69
0.04,1075,4.16,12.59,2022-08-18,2752576,50-59
1.04,232,11.67,15,2021-06-14,22234,60-69
1.52,199,46.5,53.64,2020-10-09,13128,Female
0.64,5224,23.13,4.76,2022-04-28,815872,70-79
0.64,5465,23.02,4.82,2022-05-16,856850,70-79
0.45,7697,22.69,5.58,2023-02-24,1701938,70-79
0,0,0,4.04,2021-02-28,3622,0-9
0.1,17530,50.74,53.76,2023-05-09,16830253,Female
0.01,459,1.35,15.24,2023-02-26,4648713,40-49
2.23,16157,58.9,3.02,2022-09-10,724436,80 over
0,164,0.47,14.68,2023-07-26,4844010,30-39
0,368,1,15,2022-09-02,3583038,40-49
0.11,4000,11.35,11.11,2023-07-26,3663748,60-69
0,1174,1181,13,2022-10-02,3158995,50-59
12.73,2420,50.67,3.33,2021-12-20,19010,80 over
17.46,1160,52.37,2.81,2021-08-22,6644,80 over
18.85,1035,55.2,4.3,2021-05-10,5492,80 over
0,22,0.1,12.5,2023-02-04,3768151,10-19
0.45,7768,22.69,5.6,2023-03-28,1723400,70-79
0.01,359,1.37,15.34,2022-08-24,3464206,40-49
0,0,0,19.8,2020-10-10,4861,20-29
1.5,921,50.3,50.21,2021-05-01,61573,Female
0.14,4,1.16,13.38,2020-09-09,2889,40-49
6.05,173,31.74,7.62,2020-12-06,2861,70-79
0.09,1,0.52,10.57,2020-04-07,1092,30-39
0,136,0,15,2022-10-13,3655628,30-39
0.01,3,0.05,7.97,2022-01-05,51771,0-9
0.24,73,3.58,18.21,2021-07-10,30367,50-59
0.12,13808,48.88,46.78,2022-09-26,11523962,Male
5.59,571,28.46,6.72,2021-06-22,10209,70-79
0.02,9,0.37,18.83,2021-09-21,54456,20-29
0.79,1224,50.29,52.19,2021-09-24,154040,Male
0.24,98,4.52,17.74,2021-08-16,40004,50-59
0,0,0,4.74,2021-07-23,8811,0-9
0.86,5,31.25,19.89,2020-02-29,583,50-59
0,17,0.06,12.77,2022-10-24,3232638,10-19
1.48,4,30.77,13.35,2020-02-28,270,60-69
0,17,0,13,2022-10-14,3204813,10-19
0,14,0.08,12.53,2022-04-06,1823539,0-9
0.08,51,1.46,15.24,2021-11-27,66594,40-49
1.8,741,50.37,50.84,2021-02-07,41120,Female
0,23,0.07,12.4,2023-06-19,3969717,10-19
0.12,16455,49.14,46.34,2023-02-01,13993871,Male
2,15954,59,3,2022-09-04,706726,80 over
0.02,11,0.43,19.33,2021-10-07,62974,20-29
0.09,4,0.77,14.02,2020-11-28,4669,40-49
1.93,125,48.26,58.97,2020-05-13,6464,Female
1.34,42,12.69,15.04,2020-09-04,3135,60-69
6.24,499,28.27,7.34,2021-04-10,8000,70-79
0.06,2,0.45,12.32,2020-10-17,3094,30-39
0.03,1411,4.09,13.06,2023-05-01,4073131,50-59
0,80,0.23,14.57,2023-05-25,4604822,20-29
0,0,0,0,2020-02-04,0,70-79
0.94,1140,49.91,48.46,2021-08-30,121180,Female
0,158,0.47,14.63,2023-02-18,4451660,30-39
0,0,0,3.63,2021-01-13,2551,0-9
1.96,19899,59.7,3.4,2023-01-27,1015638,80 over
0,0,0,5.47,2021-10-05,17584,0-9
0.12,3610,11.4,10.78,2022-12-23,3075002,60-69
0.09,14,0.79,14.68,2021-04-14,16358,40-49
0,9,0.06,12.6,2022-03-28,1512733,0-9
0.12,4,0.88,13.38,2020-10-23,3439,40-49
0,0,0,15.2,2023-06-17,4863090,40-49
0,37,0.11,10.1,2023-04-06,3117907,0-9
0,81,0.23,14.48,2023-08-25,4974867,20-29
0.94,1074,49.81,51.15,2021-08-15,114531,Male
0,140,0.46,14.56,2022-11-27,3921671,30-39
0,0,0,4.17,2020-02-08,1,60-69
3.04,142,52.79,41.55,2020-05-26,4664,Male
0,0,0,3.58,2023-08-12,1211704,80 over
1.92,20555,59.63,3.44,2023-04-28,1070777,80 over
2.72,1991,26.89,3.73,2022-02-20,73279,70-79
1.95,20297,59.64,3.41,2023-03-06,1042111,80 over
0.01,264,1.28,15.51,2022-04-15,2497074,40-49
0.12,3833,11.36,10.91,2023-02-13,3312665,60-69
0,0,0,9.85,2021-12-11,50285,10-19
0.11,13958,51.1,53.2,2022-09-08,12694766,Female
2.97,129,52.44,40.4,2020-04-29,4347,Male
0.16,2829,11.84,10.16,2022-05-20,1819406,60-69
1.32,275,48.76,51.98,2020-12-10,20839,Female
0.92,1093,49.89,51.26,2021-08-19,118309,Male
0,22,0.1,12.4,2023-02-08,3772682,10-19
0,80,0.5,14.78,2022-03-30,1888306,30-39
0.08,51,1.44,15.2,2021-11-28,67011,40-49
1.96,19991,59.7,3.38,2023-02-01,1020868,80 over
1.1,223,11.72,15.28,2021-05-17,20212,60-69
0.28,62,3.4,18.53,2021-04-28,22355,50-59
0.01,304,1.29,15.46,2022-05-12,2736427,40-49
0,0,0,46.09,2023-07-23,15149052,Male
0.12,15647,48.97,46.43,2022-12-28,13400004,Male
0.85,1217,49.67,47.71,2021-09-26,143682,Female
0.03,8,0.39,14.58,2021-07-25,27525,30-39
0,0,0,19.73,2020-10-21,5016,20-29
10.59,3543,50.04,2.48,2022-02-13,33466,80 over
0,108,0.44,14.7,2022-06-09,2676051,30-39
0,0,0,5.1,2021-08-20,11879,0-9
3,142,52.79,41.68,2020-05-28,4728,Male
1.22,63,12.05,15.34,2020-11-29,5180,60-69
0.12,14101,48.95,46.75,2022-10-15,11732955,Male
0,0,0,1.03,2020-03-18,87,0-9
0.06,99,1.42,15.15,2022-02-10,179529,40-49
0,0,0,5.52,2020-09-20,1268,10-19
0,162,0.47,14.67,2023-06-07,4669846,30-39
0,85,0,15,2022-04-03,2047035,30-39
0.23,82,3.91,17.93,2021-08-01,35816,50-59
0,0,0,5.72,2020-11-22,1755,10-19
1.34,176,11.53,15.71,2021-02-15,13178,60-69
0.01,1,0.06,15.11,2021-02-25,13369,20-29
0.88,693,14.92,14.07,2021-12-18,78645,60-69
0,80,0.23,14.57,2023-04-18,4518361,20-29
2.32,94,53.11,39.9,2020-04-04,4052,Male
0,139,0.46,14.56,2022-11-23,3891435,30-39
0,113,0.45,14.75,2022-08-01,2923986,30-39
2.57,39,14.13,12.7,2020-06-11,1517,60-69
1.78,695,50.44,50.96,2021-01-27,38943,Female
0.12,3785,11.35,10.9,2023-01-28,3283432,60-69
5.38,29,35.8,6.48,2020-03-17,539,70-79
0,0,0,6.25,2020-12-20,3104,10-19
19.16,994,54.89,4.42,2021-04-23,5189,80 over
1.05,237,11.83,14.93,2021-06-21,22619,60-69
0.03,1419,4.08,13.06,2023-05-26,4131386,50-59
0.57,10,7.19,18.76,2020-03-27,1751,50-59
0,14,0,13,2022-08-06,2666100,10-19
0.1,4,0.81,13.58,2020-11-18,3976,40-49
0.4,16,4.57,18.37,2020-09-11,4027,50-59
0,1206,4,13,2022-10-28,3250926,50-59
0.72,14,6.31,18.32,2020-04-14,1935,50-59
0,0,0,3.61,2021-01-10,2476,0-9
0,0,0,6.15,2021-11-21,25560,0-9
0,0,0,5.19,2020-03-25,474,10-19
1.87,120,48,59.55,2020-05-02,6419,Female
0.11,17391,50.75,53.7,2023-03-31,16550372,Female
1.02,272,12.82,12.66,2021-08-08,26699,60-69
0.03,1411,4.09,13.07,2023-05-02,4075320,50-59
1.96,20101,59.68,3.39,2023-02-09,1027572,80 over
0.01,1,0.06,15.1,2021-02-26,13424,20-29
0,0,0,3.43,2023-04-23,1067162,80 over
0.03,1391,4.09,13.07,2023-03-03,3993011,50-59
0,0,0,6.97,2021-04-22,8137,10-19
4.1,1879,27.4,4.72,2022-02-05,45876,70-79
0.03,11,0.51,14.82,2021-08-17,33613,30-39
0.09,2,0.64,12.61,2020-08-26,2303,30-39
0.53,6188,23.02,5.05,2022-09-01,1178651,70-79
0.07,45,1.47,15.64,2021-11-12,61114,40-49
2.68,14548,58.77,2.89,2022-07-18,543155,80 over
0.09,92,1.41,14.76,2022-01-22,107164,40-49
0.72,15,5.49,17.89,2020-06-04,2080,50-59
1.48,336,52.09,47.91,2020-12-18,22763,Male
0,63,0.25,14.94,2022-08-08,3069182,20-29
0.07,37,1.45,16.07,2021-10-09,53009,40-49
0.06,6,0.43,12.76,2021-01-29,9873,30-39
0.19,4,1.31,13.49,2020-08-17,2093,40-49
2,15990,59,3,2022-09-05,708068,80 over
0.01,3,0.05,7.94,2022-01-04,51249,0-9
0,0,0,14.69,2023-07-09,4759012,30-39
0,21,0.09,12.08,2022-05-16,2149608,0-9
0,0,0,5.49,2020-10-15,1372,10-19
0.04,1212,4.15,12.77,2022-11-01,3271658,50-59
0.46,21,4.84,18.44,2020-10-13,4571,50-59
0,0,0,8.77,2021-10-02,27717,10-19
0.64,5661,23.04,4.8,2022-07-04,883262,70-79
13.49,2716,50.8,3.27,2021-12-28,20140,80 over
0.26,70,3.55,18.41,2021-06-05,26432,50-59
0,45,2,16,2021-11-04,58966,40-49
1.56,230,47.42,53.21,2020-11-10,14713,Female
1.88,20737,59.62,3.47,2023-05-31,1101060,80 over
0,9,0.04,13.1,2022-06-17,2392116,10-19
0,113,0.46,14.73,2022-07-20,2790388,30-39
0,142,0.45,14.57,2022-12-15,4079798,30-39
1.86,2165,26.5,3.55,2022-03-01,116177,70-79
0.01,395,1.36,15.26,2022-10-25,3868068,40-49
0,1051,4,12,2022-08-06,2536214,50-59
0.4,8060,22.64,5.9,2023-08-17,2009305,70-79
1.92,20516,59.62,3.43,2023-04-22,1066427,80 over
0,0,0,5.56,2020-07-12,746,10-19
0.01,12,0.22,14.97,2021-12-31,94443,20-29
0,0,0,27.01,2020-06-10,3215,20-29
0.3,287,4.79,14.44,2022-01-08,95445,50-59
20.68,881,56.73,4.92,2021-02-20,4260,80 over
0,0,0,7.79,2021-07-27,14919,10-19
0.01,387,1.38,15.27,2022-09-24,3756148,40-49
0.04,1017,4.13,12.35,2022-07-08,2281288,50-59
0.01,472,1.37,15.22,2023-05-05,4756779,40-49
0,8,0.06,12.59,2022-03-23,1313170,0-9
0.16,2907,12,10,2022-07-03,1863000,60-69
0,3,0.04,8.73,2022-01-29,70781,0-9
10.17,72,29.75,6.6,2020-04-26,708,70-79
0,0,0,46.43,2020-02-13,13,Female
0.11,17357,49.34,46.1,2023-07-20,15095114,Male
0,138,0,15,2022-10-28,3713799,30-39
1.93,20503,59.62,3.43,2023-04-19,1064110,80 over
0,0,0,20,2020-02-17,6,30-39
0.16,2874,11.82,10.14,2022-06-09,1845951,60-69
0.01,479,1.36,15.18,2023-07-27,5015326,40-49
0.42,24,4.71,18.18,2020-11-24,5688,50-59
0,389,1,15,2022-09-29,3777704,40-49
5.13,623,27.85,5.03,2021-08-25,12145,70-79
1.35,978,49.54,50.13,2021-06-07,72502,Male
14.42,3202,49.41,3.12,2022-01-20,22198,80 over
0.11,15955,51.09,53.51,2022-12-15,14981904,Female
1.14,1019,49.59,50.75,2021-07-17,89571,Male
0,1122,4,13,2022-09-02,2967705,50-59
0.01,419,1.35,15.23,2022-12-09,4205491,40-49
0.45,7685,22.68,5.58,2023-02-22,1700224,70-79
0.09,88,1.4,14.71,2022-01-15,101221,40-49
0,14729,51,53,2022-10-17,13383930,Female
0.16,2,0.76,10.97,2020-05-20,1219,30-39
7.01,133,32.68,8,2020-09-29,1897,70-79
0.05,6,0.37,13.13,2021-03-05,12027,30-39
0.43,21,4.54,18.37,2020-10-30,4846,50-59
0.11,4015,11.36,11.15,2023-08-02,3714689,60-69
1.78,791,50.29,50.71,2021-02-23,44456,Female
4.6,753,27.01,4.61,2021-10-26,16352,70-79
0,5,0.02,13.38,2022-04-13,2117417,10-19
0,2,0.02,13.71,2022-03-19,1239120,10-19
19.43,253,50.5,4.35,2020-11-20,1302,80 over
5.38,592,28.34,5.59,2021-07-30,11007,70-79
0,0,0,1.2,2020-04-03,121,0-9
5.56,584,28.57,6.21,2021-07-12,10506,70-79
0.02,10,0.4,19.18,2021-09-29,59225,20-29
1.08,226,11.65,15.21,2021-05-26,20945,60-69
0.01,3,0.15,15.55,2021-07-04,24899,20-29
1,420,14.52,11.35,2021-11-03,42077,60-69
0,0,0,53.57,2020-02-15,15,Male
0.04,1000,4.12,12.34,2022-06-07,2243455,50-59
1.28,53,11.6,15.93,2020-10-26,4135,60-69
0.11,17414,49.36,46.07,2023-07-28,15245893,Male
14,1498,49.97,2.75,2021-11-09,10549,80 over
0.08,93,1.42,14.77,2022-01-24,109505,40-49
0,30,0.11,11.28,2022-08-28,2592140,0-9
0.02,125,1.37,15.82,2022-03-07,738543,40-49
0.64,5648,23.02,4.81,2022-06-28,881381,70-79
0,81,0.23,14.51,2023-08-02,4833625,20-29
1,1492,51,53,2021-11-05,199471,Male
0.01,464,1.36,15.23,2023-03-28,4689487,40-49
0.02,47,1,15,2022-02-18,260324,30-39
0,13,0.07,12.55,2022-04-04,1757756,0-9
0.01,138,1.3,15.61,2022-03-14,1071692,40-49
1.88,121,48.02,59.5,2020-05-04,6427,Female
2,14922,59,3,2022-08-10,600423,80 over
3.02,133,51.95,40.64,2020-05-09,4405,Male
0,1174,4,13,2022-09-28,3143583,50-59
1,1444,49,47,2021-11-05,175993,Female
0.1,18023,50.59,54.01,2023-08-18,18406668,Female
1,3504,51.26,51.38,2022-02-04,480247,Male
20.08,251,50.81,4.35,2020-11-16,1250,80 over
0.01,344,1.36,15.41,2022-08-08,3165091,40-49
0,0,0,8.73,2021-09-30,27187,10-19
6.79,15,27.78,2.94,2020-03-10,221,80 over
1.42,965,49.9,49.97,2021-05-24,68190,Male
18.85,1034,55.18,4.31,2021-05-09,5484,80 over
0,0,0,15.19,2023-07-01,4896387,40-49
0.75,1276,50.55,52.7,2021-10-05,169331,Male
0.06,6,0.44,12.79,2021-01-24,9605,30-39
0,0,0,5.41,2020-04-18,576,10-19
0.11,14807,51.03,53.28,2022-10-25,13508952,Female
2.67,12658,58.82,2.86,2022-04-20,474491,80 over
0,13651,51,53,2022-08-30,12303215,Female
25.04,152,49.84,4.11,2020-08-13,607,80 over
0,0,0,3,2020-12-08,1162,0-9
0,38,0.11,9.82,2023-07-10,3183904,0-9
0,0,0,27.44,2020-05-01,2956,20-29
0.1,12,0.79,14.37,2021-02-13,11954,40-49
0,74,0.25,14.67,2022-11-17,3876078,20-29
0.16,2824,11.84,10.16,2022-05-19,1816965,60-69
0.91,2835,48.56,48.03,2022-01-05,312013,Female
0.1,17506,50.73,53.74,2023-05-03,16774842,Female
0.1,17812,50.66,53.89,2023-07-17,17573410,Female
15.52,416,53.82,4.9,2020-12-25,2681,80 over
0.27,67,3.49,18.44,2021-05-21,24832,50-59
0,111,0.45,14.72,2022-07-11,2727308,30-39
1.5,289,51.24,48.02,2020-12-10,19250,Male
1.79,141,46.84,54.7,2020-08-02,7858,Female
0,78,0.2,14.6,2023-01-23,4371207,20-29
0,111,0,15,2022-07-01,2702786,30-39
0.32,51,3.28,18.66,2021-02-20,16152,50-59
0.1,12,0.82,14.36,2021-02-07,11618,40-49
